conversation_id,tag
681,delivery issues
682,Order Delays - Proactive Resolution
683,Incorrect Order Received
684,payment issues
685,Order Issues
686,allergy-sensitive products
687,Damaged Protein Powder Orders
688,Poor Store Service
689,App Account Issues
690,Order Collection Issues
691,Login Issues
692,Positive Product Review: Vitamin D3 and Energy
693,brand loyalty
694,store organization
695,Voucher Redemption Issues
696,Collagen Supplement Effectiveness and Usage
697,Damaged Orders
698,Sleep Supplements
699,Pricing and Promotions
700,organic products
701,Order Refund
702,Pricing and Promotions
703,Expiration Date Issue & Refund
704,customer service feedback
705,Store stock availability
706,Complaint Resolution
707,Protein Powder Recommendations
708,Order Cancellation
709,Order Delays & Communication Issues
710,Rewards Points Issues
711,Payment Issues
712,Order Collection Issues
713,Customer Appreciation
714,staff knowledge
715,Follow-up issues
716,Order Issues
717,subscription service
718,Store Early Closure
719,Customer Complaints
720,Positive Recommendations
721,Delayed Complaint Resolution
722,Order Issues
723,Informative service
724,repeat purchases
725,Order Cancellation
726,Skincare Order Status
727,discount appreciation
728,Delayed Complaint Resolution
729,customer preferences
730,shopping experience
731,Positive Staff Feedback
732,Delayed Complaint Resolution
733,Customer Feedback
734,Customer Complaints
735,App Account Issues
736,Rewards Points Issues
737,Online Ordering - Card Payment Issue
738,Poor Store Service
739,store display
740,Protein Powder Recommendations
741,Rewards Points Issues
742,Pricing and Promotions
743,Protein Powder Recommendations
744,Store Feedback
745,Positive Feedback
746,accurate product information
747,Positive Staff Feedback
748,Positive Feedback
749,Order Issues
750,Efficient Service
751,Product Authenticity Verification
752,Order Delays
753,Order Delays
754,Missing Item in Order / Order Fulfillment Issue
755,Supplement Advice
756,Misleading information
757,Health Concerns
758,accurate product information
759,Positive Staff Feedback
760,Menopause Supplements
761,Health Concerns & Product Refunds
762,health products
763,Pricing Issues
764,Order Delays
765,Coupon Issues
766,Expert Guidance
767,Store Early Closure
768,Sales Pressure/Unwanted Purchases
769,Health Concerns & Weight Management
770,App Account Issues
771,Expiration Date Issues
772,Store Staff Feedback
773,Product Effectiveness Inquiry
774,Order Issues
775,Voucher Redemption Issues
776,promotions and offers
777,Order Issues
778,Positive Staff Feedback
779,Palm Oil Concerns in Nuts and Seeds
780,subscription service
781,Order Confirmation Issues
782,Login Issues
783,Rewards Points Issues
784,Product Refunds
785,Pricing and Promotions
786,store stock availability
787,Product Selection
788,Order Delays
789,Protein Powder Recommendations
790,Damaged Orders
791,Order Delays
792,Sleep Supplements
793,Prompt Service
794,Damaged Orders
795,Product Refunds
796,Customer Appreciation
797,Pricing and Promotions
798,Weight Management Product Inquiry
799,Damaged Bottles
800,delivery issues
801,Order Issues
802,Damaged Orders
803,Customer Appreciation
804,order not received
805,Informative service
806,Order Delays & Communication Issues
807,trustworthy products
808,Damaged Orders
809,BOGO Confusion
810,complaint resolution
811,Gratitude
812,order not received
813,Order Issue Resolution
814,Joint Supplements
815,Login Issues
816,Order Delays & Communication Issues
817,health concerns
818,Customer Feedback
819,Hair Growth Supplements Recommendation
820,Skincare Order Status
821,Product Discontinuation & Brand Loyalty
822,promotion and offers
823,Order Refunds
824,Misleading Information
825,Order Collection Issues
826,value for money
827,Iron Supplements
828,health products
829,Order Collection Issues
830,Poor Store Service
831,promotions and offers
832,Product Authenticity Verification
833,Shopping Experience
834,Poor Store Service
835,unresponsive support
836,Customer Suggestion: Sports Nutrition Promotions
837,Poor Store Service
838,Delayed Complaint Resolution
839,product selection
840,repeat purchases
841,product effectiveness
842,Chia Seed Nutritional Inquiry
843,price comparison
844,Store Early Closure
845,Voucher Issues
846,Order Issues
847,"""Out of Stock Item Not Reflected on Website"""
848,smooth ordering process
849,incorrect orders
850,Delivery Address Update
851,Voucher Redemption Issues
852,Delivery Address Update
853,Order Collection Issues
854,Product Authenticity Verification
855,Product Availability
856,Omega-3 Supplements: Vegetarian Options
857,Pricing and Promotions
858,incorrect orders
859,GMO Concerns about Protein Bar
860,Order Delays
861,Product Discontinuation and Alternative Recommendations
862,Informative service
863,incomplete orders
864,BOGO Confusion
865,Dairy Allergy Inquiry
866,Menopause Supplements
867,Store Staff Feedback
868,international shipping
869,Damaged Product Replacement
870,Order Issues
871,Customer Appreciation
872,Store Feedback
873,health products
874,accurate product information
875,Order status updates
876,Order Collection Issues
877,Customer Appreciation
878,product ingredients
879,Protein Powder Recommendations Based on Customer Preference
880,Order Collection Issues
881,Missing Items in Vegan Hamper Order
882,Product Authenticity Verification
883,convenient location
884,Protein Powder Recommendations
885,product availability
886,allergy-sensitive products
887,misleading information
888,Order Issues
889,click and collect
890,Delayed Complaint Resolution
891,Herbal Tea Customer Feedback
892,Accurate Product Information
893,Order Refund Due to Expired Product
894,Product Effectiveness Inquiry: Vitamin B12 Supplement
895,informative service
896,Positive Feedback
897,Discontinued Product Inquiry & Replacement
898,Store Feedback
899,Store Staff Feedback
900,Product Refunds
901,Order Collection Issues
902,Supplement Advice
903,Customer Appreciation
904,Delivery Issues
905,Energy Supplement Recommendation
906,prompt service
907,customer preferences
908,Fast Delivery Praise
909,Product Authenticity Verification
910,Inconsistent Experience
911,Delivery Address Update
912,Nutritional Information
913,product ingredients
914,Supplement advice
915,Delivery Address Update
916,Pricing issues
917,Order Cancellation
918,Order Delays
919,Keto Protein Bar Nutritional Information
920,app/website usability issues
921,Positive Store Feedback
922,health products
923,Card Payment Issues
924,prompt service
925,Order Issues
926,Order Inquiry & Restock Notification
927,Skincare Order Status
928,Customer Appreciation
929,Product Effectiveness
930,Product Returns/Replacements
931,Transparency Issues
932,Bone health supplements
933,Informative Service
934,Positive Staff Feedback
935,convenient location
936,in-store issues
937,Order Collection Issues
938,incorrect orders
939,accurate product information
940,Poor Store Service
941,Subscription Order - Address Change Issue Resolved
942,"""Positive Customer Feedback on Menopause Supplement Advice"""
943,Order Refund
944,Order Delays
945,Store Staff Feedback
946,Formula Change Complaint - Vegan Protein Powder
947,value for money
948,Store Early Closure
949,Order Delays
950,Customer Complaints
951,Positive Recommendations
952,Order Cancellation
953,Customer Appreciation
954,Store Feedback: Accessibility Issue
955,Coupon Issues
956,Customer Complaint - Vitamin C Product
957,organic products
958,Order Collection Issues
959,Login Issues
960,Dairy-Free Cheese Recommendation
961,Skin health supplements
962,repeat purchases
963,Store Staff Service
964,Store Early Closure
965,Damaged Bottles
966,Order Delays & Communication Issues
967,Eye health supplements
968,Miscommunication
969,Nutritional Information
970,Store Feedback
971,brand loyalty
972,Order Collection Issues
973,Order Cancellation
974,Delivery Address Update
975,delivery issues
976,Store Staff Feedback
977,promotion and offers
978,Delivery Address Update
979,Incorrect Turmeric Powder Order
980,International Shipping Delay
981,Customer Appreciation
982,Pricing and Promotions
983,Positive Staff Feedback
984,Sales Pressure/Unwanted Purchases
985,Order Collection Issues
986,international shipping
987,shopping experience
988,Pricing and Promotions
989,Complaint Resolution
990,store display
991,Transparency Issues Regarding Vitamin Tablet Ingredients
992,Store Early Closure
993,Positive Staff Feedback
994,Damaged Orders
995,Informative service
996,Order Delays & Communication Issues
997,Payment Issues
998,Biotin Supplement Effectiveness for Hair Growth
999,Skincare Order Status
1000,international shipping
1001,Store Staff Feedback
1002,Vegan Protein Bar Availability
1003,Fast Delivery Praise
1004,Order not received
1005,Prompt Service
1006,Follow-up Issues
1007,Incorrect Orders
1008,Fast Delivery Praise
1009,informative service
1010,Positive Staff Feedback
1011,Order Issues
1012,expiration date issues
1013,parcel issues
1014,Order Delays
1015,positive recommendations
1016,Store Staff Feedback
1017,Order Cancellation
1018,Order Delays & Communication Issues
1019,Damaged Orders
1020,product effectiveness
1021,unresponsive support
1022,vegetarian and vegan options
1023,BOGO Confusion
1024,Login Issues
1025,Order Cancellation
1026,promotions and offers
1027,Delivery Address Update
1028,Voucher Redemption Issues
1029,product condition
1030,Order Delays & Communication Issues
1031,discrimination
1032,Order Tracking
1033,Pricing and Promotions
1034,store display
1035,inconsistent policies
1036,health products
1037,Supplement Advice
1038,Product Authenticity Verification
1039,Order Collection Issues
1040,Positive Staff Feedback
1041,follow-up issues
1042,Positive Staff Feedback
1043,Pricing Issues
1044,Product Refunds
1045,Discrimination
1046,Order Delays
1047,international shipping
1048,Herbal Tea Customer Feedback
1049,transparency issues
1050,Efficient Service & Positive Feedback
1051,informative service
1052,Customer Appreciation
1053,shopping experience
1054,BOGO Confusion
1055,payment issues
1056,Positive Staff Feedback
1057,Store Stock Unavailability and Online Order Suggestion
1058,store organization
1059,Expired Product Complaint
1060,product recommendations
1061,allergy-sensitive products
1062,transparency issues
1063,Store Early Closure
1064,Product Return/Exchange
1065,Follow-up Issues
1066,Returning Unopened Items
1067,Product Availability
1068,Positive Staff Feedback
1069,Store Display Issue
1070,subscription service
1071,Damaged Bottles
1072,app assistance
1073,Follow-up Issues
1074,Protein Powder Recommendations
1075,Product Refunds
1076,Rewards Points Issues
1077,Expert Guidance
1078,Product Recommendations
1079,Store Environment Feedback
1080,Herbal Tea Customer Feedback
1081,Customer Feedback
1082,Order Refunds due to Expired Product
1083,Fast Delivery Praise
1084,Product Recommendations
1085,Store Staff Feedback
1086,store stock availability
1087,Herbal Tea Customer Feedback
1088,Poor Store Service
1089,health products
1090,Product Condition
1091,Damaged Protein Powder Orders
1092,Login issues
1093,Order Refund
1094,product selection
1095,shopping experience
1096,Positive Staff Feedback
1097,Order Collection Issues
1098,promotions and offers
1099,long wait times
1100,Order Cancellation
1101,Order Delays & Communication Issues
1102,Customer Appreciation
1103,order status updates
1104,App Crashing
1105,Pricing and Promotions
1106,Damaged Orders
1107,Store Early Closure
1108,Store Early Closure
1109,payment issues
1110,Product Returns/Replacements
1111,subscription service
1112,vegetarian and vegan options
1113,Order Collection Issues
1114,Skincare Order Status
1115,Store Feedback
1116,Damaged Protein Powder Orders
1117,Store Staff Service
1118,Expansion of dairy-free products
1119,Positive Staff Feedback
1120,Order Delays
1121,gratitude
1122,long wait times
1123,shopping experience
1124,Expert Guidance on Omega-3 Supplements
1125,Order Collection Issues
1126,Poor Store Service
1127,Order Issues
1128,Immune Support Supplements
1129,International Shipping Delay
1130,product condition
1131,Order Cancellation
1132,Product Availability Inquiry
1133,Health Concerns
1134,Order Delays & Communication Issues
1135,online ordering
1136,Product Returns/Replacements
1137,Order Delays & Communication Issues
1138,Store Staff Feedback
1139,Pricing and Promotions
1140,incomplete orders
1141,Vegan Product Information
1142,Plant-based milk nutritional information
1143,Order Refunds due to Incorrect Product Information
1144,Customer Complaints
1145,Login Issues
1146,Store Feedback
1147,Order Issues
1148,Inconsistent Experience
1149,Stock Availability - Flaxseeds
1150,Damaged Orders
1151,Customer Complaints
1152,Damaged Bottles
1153,Pricing Issues
1154,Keto Bread Mix Nutritional Information
1155,Voucher Redemption Issues
1156,Damaged Orders
1157,order status updates
1158,Energy Bar Sugar Content Inquiry
1159,price comparison
1160,trustworthy products
1161,Store Feedback
1162,vegetarian and vegan options
1163,Store Organization Issue
1164,Customer Complaints
1165,Positive Staff Feedback
1166,Hair Growth Supplements
1167,Eye health supplements
1168,incorrect orders
1169,Trustworthy Products
1170,incomplete orders
1171,gratitude
1172,store stock availability
1173,efficient service
1174,gratitude
1175,Customer Complaints
1176,Promotion and offers
1177,Staff Knowledge
1178,Order Cancellation
1179,Expert Guidance
1180,Expert Guidance
1181,Delivery Address Update - Subscription Service Issue Resolved
1182,Transparency Issues regarding Vitamin Tablet Ingredients
1183,Stock Inquiry & Reservation
1184,Delivery Issues
1185,Customer Complaints
1186,Store Staff Feedback
1187,Order Tracking
1188,staff knowledge
1189,Vitamin D3 Supplement Inquiry
1190,Customer Inquiry about Organic Nut and Fruit Bars
1191,Poor Store Service
1192,Order Issues
1193,Positive Staff Feedback
1194,Sales Pressure/Unwanted Purchases
1195,Order Issues
1196,Expert Guidance
1197,Rewards Points Issues
1198,menopause advice
1199,Order Issues
1200,Product Refunds
1201,Damaged Protein Powder Orders
1202,Menopause Supplements
1203,Damaged Bottles
1204,Product Availability
1205,Damaged Bottles
1206,product selection
1207,Nutritional Information Discrepancy Resolved
1208,Order cancellation
1209,order status updates
1210,Order Delays & Communication Issues
1211,Website Issues Leading to Phone Order
1212,Pricing Issues
1213,Order Collection Issues
1214,long wait times
1215,Damaged Orders
1216,Order Issues
1217,Dried Fruit & Nuts
1218,Order Refund due to Expired Product
1219,Fast Delivery Praise
1220,customer preferences
1221,Positive Staff Feedback
1222,miscommunication
1223,Positive Staff Feedback
1224,Refund Due to Misinformation
1225,Sales Pressure/Unwanted Purchases
1226,Immune Support Supplements
1227,Store Feedback
1228,Price comparison
1229,follow-up issues
1230,Returning Unopened Items
1231,gratitude
1232,Coupon Issues
1233,Convenient Location
1234,store display
