conversation_id,tag,user_final_sentiment
178,impulse buying,Positive
179,allergy-sensitive products,Negative
180,regular customer,Positive
181,store closing hours,Positive
182,communication issues,Positive
183,hair products,Positive
184,repeat purchases,Positive
185,store organization,Positive
186,unresponsive support,Positive
187,impulse buying,Negative
188,order tracking,Positive
189,incorrect orders,Positive
190,inconsistent policies,Positive
191,health concerns,Neutral
192,accurate product information,Positive
193,in-store issues,Positive
194,intimidating behavior,Positive
195,order cancellation,Positive
196,promotions and offers,Positive
197,gratitude,Positive
198,expert guidance,Positive
199,order collection issues,Neutral
200,expiration date issues,Positive
201,repeat purchases,Positive
202,promotions and offers,Positive
203,customer preferences,Positive
204,app/website usability issues,Positive
205,address issues,Positive
206,discount appreciation,Positive
207,customer service feedback,Negative
208,vegetarian and vegan options,Positive
209,address issues,Positive
210,follow-up issues,Neutral
211,misleading information,Negative
212,store display,Negative
213,in-store issues,Positive
214,long wait times,Neutral
215,payment issues,Positive
216,transparency issues,Negative
217,allergy-sensitive products,Negative
218,efficient service,Positive
219,rewards program,Positive
220,inconsistent experience,Positive
221,discrimination,Negative
222,unresponsive support,Positive
223,incomplete orders,Positive
224,staff knowledge,Positive
225,order status updates,Positive
226,address issues,Positive
227,packaging issues,Positive
228,friendly staff,Positive
229,repeat purchases,Positive
230,click and collect,Positive
231,international shipping,Positive
232,click and collect,Positive
233,allergy-sensitive products,Positive
234,unresponsive support,Positive
235,brand loyalty,Positive
236,lack of respect,Negative
237,address issues,Positive
238,supplement advice,Positive
239,address issues,Positive
240,misleading information,Negative
241,login issues,Positive
242,discount appreciation,Positive
243,lack of respect,Neutral
244,order cancellation,Positive
245,communication issues,Negative
246,misleading information,Negative
247,order not received,Positive
248,subscription service,Positive
249,payment issues,Positive
250,app/website usability issues,Neutral
251,parcel issues,Positive
252,order not received,Positive
253,authentic products,Positive
254,transparency issues,Neutral
255,discrimination,Neutral
256,incomplete orders,Positive
257,order not received,Positive
258,store display,Negative
259,nutritional information,Positive
260,promotions and offers,Positive
261,order collection issues,Neutral
262,packaging issues,Positive
263,online ordering,Positive
264,positive recommendations,Positive
265,health concerns,Positive
266,value for money,Positive
267,click and collect,Neutral
268,order not received,Negative
269,online ordering,Positive
270,accurate product information,Positive
271,delivery issues,Positive
272,store stock availability,Positive
273,gratitude,Positive
274,subscription service,Positive
275,authentic products,Positive
276,store closing hours,Positive
277,communication issues,Negative
278,accurate product information,Negative
279,app/website usability issues,Positive
280,delivery issues,Positive
281,staff interaction,Negative
282,international shipping,Positive
283,discount appreciation,Positive
284,gratitude,Positive
285,transparency issues,Positive
286,discrimination,Negative
287,store stock availability,Positive
288,efficient service,Negative
289,menopause advice,Positive
290,delivery issues,Positive
291,shopping experience,Positive
292,professionalism,Negative
293,informative service,Positive
294,order tracking,Positive
295,regular customer,Positive
296,store closing hours,Positive
297,health products,Positive
298,menopause advice,Positive
299,incomplete orders,Positive
300,organic products,Positive
301,online ordering,Positive
302,promotion and offers,Positive
303,replacement requests,Positive
304,discount appreciation,Positive
305,packaging issues,Positive
306,friendly staff,Positive
307,order collection issues,Neutral
308,pricing issues,Positive
309,impulse buying,Positive
310,store display,Positive
311,customer service feedback,Positive
312,brand loyalty,Positive
313,discrimination,Positive
314,delivery issues,Positive
315,product condition,Positive
316,order tracking,Positive
317,supplement advice,Positive
318,expert guidance,Positive
319,gratitude,Positive
320,miscommunication,Positive
321,prompt service,Positive
322,value for money,Positive
323,positive recommendations,Positive
324,faulty/damaged products,Positive
325,expert guidance,Positive
326,promotion and offers,Positive
327,expiration date issues,Positive
328,store closing hours,Positive
329,menopause advice,Positive
330,lack of respect,Neutral
331,convenient location,Positive
332,address issues,Positive
333,discount appreciation,Positive
334,order cancellation,Positive
335,staff knowledge,Positive
336,store closing hours,Positive
337,product recommendations,Positive
338,promotions and offers,Positive
339,subscription service,Positive
340,smooth ordering process,Positive
341,transparency issues,Positive
342,product recommendations,Positive
343,payment issues,Positive
344,gratitude,Positive
345,health products,Positive
346,communication issues,Positive
347,staff knowledge,Neutral
348,accurate product information,Positive
349,gratitude,Positive
350,incorrect orders,Positive
351,discount appreciation,Positive
352,faulty/damaged products,Positive
353,inconsistent experience,Neutral
354,subscription service,Positive
355,impulse buying,Negative
356,regular customer,Positive
357,promotion and offers,Positive
358,misleading information,Negative
359,shopping experience,Positive
360,online ordering,Positive
361,product selection,Positive
362,menopause advice,Positive
363,informative service,Positive
364,customer service feedback,Positive
365,health concerns,Positive
366,order not received,Positive
367,hair products,Positive
368,hair products,Positive
369,smooth ordering process,Positive
370,customer service feedback,Positive
371,misleading information,Negative
372,menopause advice,Positive
373,price comparison,Neutral
374,customer value,Positive
375,product ingredients,Positive
376,allergy-sensitive products,Positive
377,menopause advice,Positive
378,product effectiveness,Neutral
379,pricing issues,Positive
380,customer value,Positive
381,price comparison,Positive
382,international shipping,Positive
383,product ingredients,Neutral
384,discontinued products,Positive
385,long wait times,Positive
386,product ingredients,Positive
387,online ordering,Positive
388,hair products,Positive
389,delivery issues,Positive
390,discount appreciation,Positive
391,expiration date issues,Positive
392,positive recommendations,Positive
393,product ingredients,Positive
394,pricing issues,Positive
395,discount appreciation,Positive
396,positive recommendations,Positive
397,long wait times,Negative
398,product selection,Positive
399,allergy-sensitive products,Positive
400,expert guidance,Positive
401,address issues,Positive
402,impulse buying,Positive
403,replacement requests,Positive
404,product condition,Positive
405,informative service,Positive
406,nutritional information,Positive
407,incorrect orders,Positive
408,complaint resolution,Negative
409,packaging issues,Positive
410,impulse buying,Neutral
411,login issues,Positive
412,nutritional information,Positive
413,impulse buying,Positive
414,value for money,Positive
415,unresponsive support,Positive
416,authentic products,Positive
417,discount appreciation,Positive
418,health concerns,Neutral
419,friendly staff,Positive
420,repeat purchases,Positive
421,promotion and offers,Positive
422,organic products,Positive
423,supplement advice,Positive
424,store stock availability,Positive
425,organic products,Positive
426,delivery issues,Positive
427,miscommunication,Positive
428,vegetarian and vegan options,Positive
429,follow-up issues,Negative
430,supplement advice,Positive
431,supplement advice,Positive
432,discrimination,Positive
433,hair products,Positive
434,product selection,Positive
435,shopping experience,Positive
436,repeat purchases,Positive
437,app assistance,Positive
438,customer preferences,Positive
439,packaging issues,Positive
440,order collection issues,Positive
441,parcel issues,Positive
442,friendly staff,Positive
443,app/website usability issues,Positive
444,store closing hours,Positive
445,delivery issues,Positive
446,product recommendations,Positive
447,inconsistent policies,Positive
448,allergy-sensitive products,Positive
449,smooth ordering process,Positive
450,follow-up issues,Negative
451,health concerns,Positive
452,online ordering,Positive
453,value for money,Positive
454,customer service feedback,Positive
455,friendly staff,Positive
456,friendly staff,Positive
457,discrimination,Negative
458,in-store issues,Positive
459,faulty/damaged products,Positive
460,price comparison,Positive
461,international shipping,Positive
462,efficient service,Positive
463,product ingredients,Positive
464,intimidating behavior,Negative
465,discrimination,Neutral
466,order cancellation,Positive
467,prompt service,Positive
468,hair products,Positive
469,discontinued products,Positive
470,product effectiveness,Neutral
471,efficient service,Positive
472,app assistance,Positive
473,intimidating behavior,Negative
474,in-store issues,Positive
475,staff knowledge,Positive
476,promotion and offers,Positive
477,delivery issues,Positive
478,transparency issues,Negative
479,store display,Positive
480,informative service,Positive
481,online ordering,Positive
482,order status updates,Positive
483,menopause advice,Positive
484,smooth ordering process,Positive
485,product recommendations,Positive
486,faulty/damaged products,Positive
487,regular customer,Positive
488,menopause advice,Neutral
489,product condition,Positive
490,positive recommendations,Positive
491,staff interaction,Positive
492,delivery issues,Positive
493,store closing hours,Positive
494,address issues,Positive
495,online ordering,Positive
496,health products,Positive
497,friendly staff,Positive
498,store display,Positive
499,gratitude,Positive
500,brand loyalty,Positive
501,trustworthy products,Positive
502,order not received,Positive
503,allergy-sensitive products,Positive
504,app assistance,Positive
505,intimidating behavior,Negative
506,refund process,Positive
507,parcel issues,Positive
508,order status updates,Positive
509,order status updates,Positive
510,intimidating behavior,Positive
511,supplement advice,Positive
512,product condition,Positive
513,order cancellation,Positive
514,supplement advice,Positive
515,gratitude,Positive
516,incorrect orders,Positive
517,professionalism,Negative
518,lack of respect,Neutral
519,subscription service,Positive
520,repeat purchases,Positive
521,faulty/damaged products,Positive
522,order collection issues,Positive
523,supplement advice,Positive
524,product condition,Positive
525,voucher issues,Positive
526,authentic products,Positive
527,parcel issues,Positive
528,health products,Positive
529,transparency issues,Positive
530,expiration date issues,Positive
531,faulty/damaged products,Positive
532,organic products,Positive
533,shopping experience,Positive
534,gratitude,Positive
535,incomplete orders,Positive
536,incomplete orders,Negative
537,app assistance,Positive
538,voucher issues,Positive
539,supplement advice,Positive
540,incomplete orders,Positive
541,voucher issues,Positive
542,store stock availability,Positive
543,rewards program,Positive
544,regular customer,Positive
545,discount appreciation,Positive
546,discount appreciation,Positive
547,trustworthy products,Positive
548,brand loyalty,Positive
549,click and collect,Positive
550,store display,Positive
551,vegetarian and vegan options,Positive
552,faulty/damaged products,Positive
553,discrimination,Negative
554,product selection,Positive
555,efficient service,Positive
556,click and collect,Positive
557,product selection,Positive
558,product condition,Positive
559,efficient service,Positive
560,product condition,Positive
561,discontinued products,Positive
562,hair products,Positive
563,in-store issues,Positive
564,staff interaction,Positive
565,transparency issues,Positive
566,order not received,Positive
567,incorrect orders,Positive
568,product recommendations,Positive
569,misleading information,Negative
570,smooth ordering process,Positive
571,gratitude,Positive
572,customer preferences,Positive
573,efficient service,Positive
574,order not received,Negative
575,discount appreciation,Positive
576,vegetarian and vegan options,Positive
577,supplement advice,Positive
578,authentic products,Positive
579,complaint resolution,Neutral
580,in-store issues,Neutral
581,store organization,Positive
582,allergy-sensitive products,Positive
583,positive recommendations,Positive
584,address issues,Positive
585,customer preferences,Positive
586,vegetarian and vegan options,Positive
587,store display,Positive
588,smooth ordering process,Positive
589,packaging issues,Positive
590,convenient location,Positive
591,subscription service,Positive
592,allergy-sensitive products,Positive
593,shopping experience,Positive
594,vegetarian and vegan options,Positive
595,vegetarian and vegan options,Positive
596,impulse buying,Positive
597,staff interaction,Positive
598,click and collect,Positive
599,expert guidance,Positive
600,nutritional information,Positive
601,product effectiveness,Neutral
602,click and collect,Positive
603,click and collect,Positive
604,order cancellation,Positive
605,payment issues,Positive
606,supplement advice,Positive
607,in-store issues,Positive
608,pricing issues,Positive
609,value for money,Positive
610,intimidating behavior,Negative
611,price comparison,Positive
612,discount appreciation,Positive
613,click and collect,Positive
614,authentic products,Positive
615,health products,Positive
616,expiration date issues,Positive
617,impulse buying,Positive
618,app/website usability issues,Positive
619,promotion and offers,Positive
620,in-store issues,Positive
621,international shipping,Positive
622,expiration date issues,Positive
623,online ordering,Neutral
624,address issues,Positive
625,pricing issues,Positive
626,staff knowledge,Negative
627,nutritional information,Positive
628,inconsistent policies,Positive
629,efficient service,Positive
630,order not received,Positive
631,complaint resolution,Neutral
632,staff interaction,Positive
633,packaging issues,Positive
634,product effectiveness,Neutral
635,product selection,Positive
636,informative service,Positive
637,order tracking,Positive
638,store display,Positive
639,pricing issues,Neutral
640,friendly staff,Positive
641,product selection,Positive
642,store organization,Neutral
643,app/website usability issues,Neutral
644,inconsistent policies,Positive
645,inconsistent policies,Positive
646,lack of respect,Negative
647,click and collect,Positive
648,product effectiveness,Neutral
649,rewards program,Positive
650,app/website usability issues,Positive
651,allergy-sensitive products,Positive
652,gratitude,Positive
653,replacement requests,Positive
654,repeat purchases,Positive
655,professionalism,Neutral
656,hair products,Positive
657,prompt service,Positive
658,address issues,Positive
659,health products,Positive
660,communication issues,Negative
661,replacement requests,Positive
662,positive recommendations,Positive
663,communication issues,Negative
664,address issues,Positive
665,customer service feedback,Positive
666,efficient service,Positive
667,allergy-sensitive products,Positive
668,health products,Positive
669,organic products,Positive
670,smooth ordering process,Positive
671,staff knowledge,Neutral
672,voucher issues,Positive
673,health products,Positive
674,product condition,Positive
675,staff knowledge,Positive
676,follow-up issues,Neutral
677,miscommunication,Positive
678,supplement advice,Positive
679,order tracking,Positive
680,incorrect orders,Positive
681,delivery issues,Positive
682,trustworthy products,Positive
683,health products,Positive
684,payment issues,Neutral
685,convenient location,Positive
686,allergy-sensitive products,Positive
687,online ordering,Positive
688,lack of respect,Negative
689,app assistance,Positive
690,order collection issues,Neutral
691,login issues,Negative
692,product effectiveness,Positive
693,brand loyalty,Positive
694,store organization,Positive
695,voucher issues,Positive
696,product effectiveness,Neutral
697,faulty/damaged products,Positive
698,product recommendations,Positive
699,value for money,Neutral
700,organic products,Positive
701,in-store issues,Positive
702,pricing issues,Positive
703,expiration date issues,Positive
704,customer service feedback,Negative
705,store stock availability,Neutral
706,complaint resolution,Neutral
707,vegetarian and vegan options,Positive
708,order cancellation,Positive
709,communication issues,Negative
710,rewards program,Positive
711,payment issues,Positive
712,customer service feedback,Positive
713,discount appreciation,Positive
714,staff knowledge,Positive
715,follow-up issues,Neutral
716,incomplete orders,Positive
717,subscription service,Positive
718,store closing hours,Positive
719,staff interaction,Negative
720,positive recommendations,Positive
721,complaint resolution,Negative
722,online ordering,Neutral
723,informative service,Positive
724,repeat purchases,Positive
725,order cancellation,Positive
726,long wait times,Positive
727,discount appreciation,Positive
728,complaint resolution,Negative
729,customer preferences,Positive
730,shopping experience,Positive
731,staff knowledge,Positive
732,complaint resolution,Positive
733,nutritional information,Positive
734,intimidating behavior,Negative
735,app assistance,Positive
736,rewards program,Positive
737,online ordering,Positive
738,lack of respect,Positive
739,store display,Positive
740,discontinued products,Positive
741,customer preferences,Positive
742,value for money,Positive
743,product selection,Positive
744,store organization,Neutral
745,smooth ordering process,Positive
746,accurate product information,Positive
747,staff knowledge,Positive
748,prompt service,Positive
749,unresponsive support,Positive
750,efficient service,Positive
751,authentic products,Positive
752,trustworthy products,Neutral
753,parcel issues,Neutral
754,vegetarian and vegan options,Positive
755,supplement advice,Positive
756,misleading information,Negative
757,health concerns,Neutral
758,accurate product information,Positive
759,positive recommendations,Positive
760,menopause advice,Positive
761,health concerns,Negative
762,health products,Positive
763,pricing issues,Positive
764,delivery issues,Positive
765,promotions and offers,Positive
766,expert guidance,Positive
767,store closing hours,Positive
768,impulse buying,Neutral
769,health concerns,Positive
770,app/website usability issues,Positive
771,expiration date issues,Positive
772,staff interaction,Positive
773,product effectiveness,Neutral
774,unresponsive support,Positive
775,app assistance,Neutral
776,promotions and offers,Positive
777,parcel issues,Positive
778,gratitude,Positive
779,product ingredients,Positive
780,subscription service,Positive
781,payment issues,Positive
782,login issues,Positive
783,rewards program,Positive
784,product condition,Positive
785,price comparison,Positive
786,store stock availability,Positive
787,product selection,Positive
788,order status updates,Positive
789,product ingredients,Positive
790,repeat purchases,Positive
791,subscription service,Positive
792,health concerns,Positive
793,prompt service,Positive
794,packaging issues,Positive
795,hair products,Positive
796,discount appreciation,Positive
797,value for money,Positive
798,product selection,Positive
799,follow-up issues,Neutral
800,delivery issues,Positive
801,convenient location,Positive
802,packaging issues,Positive
803,discount appreciation,Positive
804,order not received,Positive
805,informative service,Positive
806,regular customer,Positive
807,trustworthy products,Positive
808,packaging issues,Positive
809,miscommunication,Positive
810,complaint resolution,Negative
811,gratitude,Positive
812,order not received,Positive
813,vegetarian and vegan options,Positive
814,expert guidance,Positive
815,login issues,Positive
816,long wait times,Negative
817,health concerns,Positive
818,lack of respect,Negative
819,product recommendations,Positive
820,order status updates,Positive
821,brand loyalty,Positive
822,promotion and offers,Positive
823,product condition,Positive
824,misleading information,Positive
825,order collection issues,Positive
826,value for money,Positive
827,product recommendations,Positive
828,health products,Positive
829,click and collect,Positive
830,lack of respect,Negative
831,promotions and offers,Positive
832,authentic products,Positive
833,shopping experience,Positive
834,in-store issues,Positive
835,unresponsive support,Positive
836,promotion and offers,Positive
837,lack of respect,Neutral
838,complaint resolution,Neutral
839,product selection,Positive
840,repeat purchases,Neutral
841,product effectiveness,Neutral
842,nutritional information,Positive
843,price comparison,Positive
844,store closing hours,Neutral
845,voucher issues,Positive
846,follow-up issues,Neutral
847,accurate product information,Positive
848,smooth ordering process,Positive
849,incorrect orders,Positive
850,address issues,Negative
851,voucher issues,Positive
852,address issues,Positive
853,order not received,Neutral
854,authentic products,Positive
855,store stock availability,Neutral
856,trustworthy products,Positive
857,pricing issues,Positive
858,incorrect orders,Positive
859,product ingredients,Neutral
860,online ordering,Positive
861,discontinued products,Positive
862,informative service,Positive
863,incomplete orders,Positive
864,promotion and offers,Positive
865,nutritional information,Positive
866,menopause advice,Positive
867,staff interaction,Positive
868,international shipping,Positive
869,regular customer,Positive
870,unresponsive support,Positive
871,prompt service,Positive
872,store organization,Neutral
873,health products,Positive
874,accurate product information,Positive
875,order status updates,Positive
876,click and collect,Positive
877,discount appreciation,Positive
878,product ingredients,Positive
879,customer preferences,Negative
880,customer service feedback,Positive
881,vegetarian and vegan options,Positive
882,authentic products,Positive
883,convenient location,Positive
884,product recommendations,Positive
885,product selection,Positive
886,allergy-sensitive products,Positive
887,misleading information,Negative
888,unresponsive support,Positive
889,click and collect,Positive
890,follow-up issues,Negative
891,trustworthy products,Positive
892,accurate product information,Negative
893,expiration date issues,Positive
894,product effectiveness,Neutral
895,informative service,Positive
896,positive recommendations,Positive
897,discontinued products,Positive
898,store organization,Neutral
899,staff knowledge,Neutral
900,allergy-sensitive products,Positive
901,smooth ordering process,Positive
902,supplement advice,Positive
903,gratitude,Positive
904,delivery issues,Positive
905,health concerns,Positive
906,prompt service,Positive
907,customer preferences,Positive
908,prompt service,Positive
909,authentic products,Positive
910,inconsistent experience,Positive
911,app/website usability issues,Positive
912,nutritional information,Positive
913,product ingredients,Neutral
914,supplement advice,Positive
915,subscription service,Positive
916,pricing issues,Positive
917,online ordering,Positive
918,inconsistent experience,Positive
919,nutritional information,Positive
920,app/website usability issues,Positive
921,store organization,Positive
922,health products,Positive
923,payment issues,Positive
924,prompt service,Positive
925,parcel issues,Positive
926,regular customer,Positive
927,order tracking,Positive
928,smooth ordering process,Positive
929,product effectiveness,Neutral
930,organic products,Positive
931,transparency issues,Neutral
932,supplement advice,Positive
933,informative service,Positive
934,customer value,Positive
935,convenient location,Positive
936,in-store issues,Positive
937,order collection issues,Positive
938,incorrect orders,Positive
939,accurate product information,Positive
940,lack of respect,Neutral
941,subscription service,Positive
942,customer value,Positive
943,pricing issues,Positive
944,click and collect,Positive
945,store display,Positive
946,regular customer,Positive
947,value for money,Positive
948,store closing hours,Positive
949,order status updates,Positive
950,discrimination,Negative
951,positive recommendations,Positive
952,order cancellation,Positive
953,gratitude,Positive
954,store organization,Neutral
955,promotion and offers,Positive
956,product effectiveness,Positive
957,organic products,Positive
958,customer service feedback,Positive
959,login issues,Positive
960,product selection,Positive
961,supplement advice,Positive
962,repeat purchases,Positive
963,staff interaction,Negative
964,store closing hours,Neutral
965,faulty/damaged products,Positive
966,shopping experience,Positive
967,supplement advice,Positive
968,miscommunication,Positive
969,nutritional information,Neutral
970,store organization,Positive
971,brand loyalty,Positive
972,customer service feedback,Positive
973,order cancellation,Positive
974,address issues,Positive
975,delivery issues,Positive
976,positive recommendations,Positive
977,promotion and offers,Positive
978,online ordering,Positive
979,incorrect orders,Positive
980,international shipping,Positive
981,gratitude,Positive
982,price comparison,Positive
983,staff interaction,Positive
984,impulse buying,Positive
985,click and collect,Positive
986,international shipping,Positive
987,shopping experience,Positive
988,brand loyalty,Positive
989,complaint resolution,Neutral
990,store display,Positive
991,transparency issues,Neutral
992,store closing hours,Positive
993,staff knowledge,Positive
994,customer service feedback,Positive
995,informative service,Positive
996,communication issues,Neutral
997,payment issues,Positive
998,product effectiveness,Neutral
999,order tracking,Positive
1000,international shipping,Positive
1001,staff interaction,Positive
1002,vegetarian and vegan options,Positive
1003,prompt service,Positive
1004,order not received,Positive
1005,prompt service,Positive
1006,follow-up issues,Negative
1007,incorrect orders,Positive
1008,positive recommendations,Positive
1009,informative service,Positive
1010,friendly staff,Positive
1011,accurate product information,Positive
1012,expiration date issues,Positive
1013,parcel issues,Positive
1014,online ordering,Positive
1015,positive recommendations,Positive
1016,staff knowledge,Neutral
1017,order cancellation,Positive
1018,communication issues,Negative
1019,faulty/damaged products,Positive
1020,product effectiveness,Neutral
1021,unresponsive support,Positive
1022,vegetarian and vegan options,Positive
1023,miscommunication,Positive
1024,login issues,Positive
1025,subscription service,Positive
1026,promotions and offers,Neutral
1027,address issues,Positive
1028,voucher issues,Positive
1029,product condition,Positive
1030,communication issues,Negative
1031,discrimination,Positive
1032,order tracking,Positive
1033,pricing issues,Positive
1034,store display,Negative
1035,inconsistent policies,Positive
1036,health products,Positive
1037,supplement advice,Positive
1038,trustworthy products,Positive
1039,order collection issues,Positive
1040,store display,Positive
1041,follow-up issues,Negative
1042,staff interaction,Positive
1043,pricing issues,Positive
1044,hair products,Positive
1045,discrimination,Negative
1046,menopause advice,Positive
1047,international shipping,Positive
1048,customer value,Positive
1049,transparency issues,Negative
1050,efficient service,Positive
1051,informative service,Positive
1052,discount appreciation,Positive
1053,shopping experience,Positive
1054,miscommunication,Positive
1055,payment issues,Positive
1056,gratitude,Positive
1057,store stock availability,Negative
1058,store organization,Positive
1059,vegetarian and vegan options,Positive
1060,product recommendations,Positive
1061,allergy-sensitive products,Positive
1062,transparency issues,Neutral
1063,store closing hours,Positive
1064,health products,Positive
1065,follow-up issues,Neutral
1066,impulse buying,Positive
1067,store stock availability,Positive
1068,friendly staff,Positive
1069,store display,Negative
1070,subscription service,Positive
1071,customer service feedback,Positive
1072,app assistance,Positive
1073,follow-up issues,Neutral
1074,regular customer,Positive
1075,product condition,Positive
1076,rewards program,Positive
1077,expert guidance,Positive
1078,product recommendations,Positive
1079,store display,Positive
1080,trustworthy products,Positive
1081,positive recommendations,Positive
1082,expiration date issues,Positive
1083,smooth ordering process,Positive
1084,product recommendations,Positive
1085,store display,Positive
1086,store stock availability,Positive
1087,lack of respect,Negative
1088,staff knowledge,Neutral
1089,health products,Positive
1090,product condition,Positive
1091,faulty/damaged products,Positive
1092,login issues,Positive
1093,value for money,Positive
1094,product selection,Positive
1095,shopping experience,Positive
1096,gratitude,Positive
1097,order collection issues,Positive
1098,promotions and offers,Positive
1099,long wait times,Positive
1100,order cancellation,Positive
1101,communication issues,Positive
1102,discount appreciation,Positive
1103,order status updates,Positive
1104,app assistance,Positive
1105,value for money,Positive
1106,repeat purchases,Positive
1107,store closing hours,Neutral
1108,store closing hours,Positive
1109,payment issues,Neutral
1110,product condition,Positive
1111,subscription service,Positive
1112,vegetarian and vegan options,Neutral
1113,click and collect,Positive
1114,order tracking,Positive
1115,store organization,Positive
1116,refund process,Positive
1117,lack of respect,Negative
1118,product selection,Positive
1119,customer value,Positive
1120,delivery issues,Positive
1121,gratitude,Positive
1122,long wait times,Positive
1123,shopping experience,Positive
1124,expert guidance,Positive
1125,order collection issues,Positive
1126,lack of respect,Neutral
1127,unresponsive support,Positive
1128,product recommendations,Positive
1129,international shipping,Positive
1130,product condition,Positive
1131,order cancellation,Positive
1132,health concerns,Neutral
1133,health concerns,Positive
1134,communication issues,Positive
1135,online ordering,Positive
1136,organic products,Positive
1137,inconsistent experience,Positive
1138,positive recommendations,Positive
1139,value for money,Positive
1140,incomplete orders,Positive
1141,store display,Positive
1142,nutritional information,Positive
1143,product effectiveness,Positive
1144,staff interaction,Negative
1145,login issues,Positive
1146,store organization,Positive
1147,unresponsive support,Positive
1148,inconsistent experience,Positive
1149,store stock availability,Positive
1150,prompt service,Positive
1151,intimidating behavior,Negative
1152,packaging issues,Positive
1153,pricing issues,Positive
1154,nutritional information,Positive
1155,voucher issues,Positive
1156,expiration date issues,Positive
1157,order status updates,Positive
1158,nutritional information,Negative
